,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
742,"This is a picture of the Pyramids of Giza near Cairo. The photo captures the scale and ancient stone construction of the pyramid(s) against a clear blue sky. In the foreground, there are figures on camels, indicating a typical desert activity and providing a sense of scale. I chose this place because it is an unparalleled symbol of ancient civilization, engineering, and history, instantly recognizable worldwide.",Egypt,Sunny,Afternoon,Summer,sightseeing,1220619,Consistent
743,"This is a stunning aerial or high-vantage-point photo of the Manhattan skyline in New York City at sunset. The dense grid of skyscrapers fills the frame, with the sunlight bursting through clouds on the right, casting a warm, golden glow on the buildings. The Empire State Building is clearly visible in the center. I chose this place because it represents the raw energy and beautiful density of one of the world's most recognizable cities, captured during a time of day that maximizes visual drama.",New york,Cloudy,Evening,Not Clear,sightseeing,1220619,Consistent
744,"This is a picture of the Great Wall of China, specifically showing its winding path along the mountainous ridges. The foreground features a well-preserved watchtower, with the wall extending far into the distance, connecting other towers on distant peaks. The wall is surrounded by thick, vibrant green foliage. I chose this place because it is one of the world's most impressive feats of human engineering and a profound symbol of Chinese history and culture.",China,Sunny,Morning,Summer,sightseeing,1220619,Consistent
745,"This is a wide-angle photograph of the Prophet's Mosque (Al-Masjid an-Nabawi) in Medina, Saudi Arabia, captured at sunset, highlighting the many tall minarets and vast roof with its signature domes. I choose it for its immense spiritual significance as one of the holiest sites in Islam and its unique, tranquil architectural beauty.",Suadi arabia,Sunny,Afternoon,Not Clear,relaxing,1220619,Consistent
746,"The image captures a vibrant red mountain train climbing a steep, lush green slope with massive, snow-capped mountains in the background.I chose this place because it perfectly encapsulates the stunning beauty and dramatic scale of the Swiss Alps, combining technological marvel with natural splendor.",Switzerland,Sunny,Morning,Not Clear,sightseeing,1220619,Consistent
747,"This is a picture of the S�leymaniye Mosque in Istanbul, Turkey, captured during the day.I chose this place because it showcases the immense historical architecture and the bustling, colorful environment of Istanbul.",Turkey,Sunny,Afternoon,Spring,sightseeing,1220619,Consistent
748,"""A cliffside view of Kelingking Beach in Nusa Penida, Bali. I chose it for the relaxing, amazing view and the peaceful feeling of looking over the bright blue water.""",Indonesia,Cloudy,Afternoon,Summer,sightseeing,1220623,Consistent
749,"""Evening view of the Colosseum in Rome, glowing with lights. I chose it because it�s a famous place I�ve always wanted to see, and it makes me curious about the stories and history inside its walls.""",Italy,Not Clear,Evening,Not Clear,sightseeing,1220623,Contradictory
750,"""Morning view of the Maldives with a calm ocean and soft sunrise clouds. I chose it for the peaceful, very relaxing scene that simply makes me happy.""",Maldives,Cloudy,Morning,Spring,relaxing,1220623,Consistent
751,"""Rain falling over the Kaaba in Mecca during the evening. I chose it for its peaceful beauty and the warm, happy feeling it gives me inside.""",Saudi Arabia,Rainy,Evening,Winter,religious,1220623,Consistent
752,"""A beautiful view of Niagara Falls in Canada with the water rushing down and touches of orange fall trees around it. I chose it because I visited before, and the magical, relaxing scene stayed with me.""",Canada,Not Clear,Afternoon,Fall,sightseeing,1220623,Consistent
753,"""Sunset view of the Pyramids of Giza with a warm golden sky. I chose it because seeing one of the world�s greatest ancient wonders at sunset feels unforgettable.""",Egypt,Sunny,Evening,Not Clear,sightseeing,1220623,Consistent
754,"""Snowy Zermatt with the Matterhorn towering above. I chose it for the fun of skiing, the amazing view of the Alps, and the stunning winter scenery.""",Switzerland,Snowy,Afternoon,Winter,winter_sport,1220623,Consistent
755,"""Hot-air balloons floating over Cappadocia at sunrise. I chose it for the unique adventure experience and the magical morning landscape.""",Turkey,Sunny,Morning,Summer,adventure,1220623,Consistent
756,"""Rainy fall scene in Central Park with autumn trees while biking. I chose it because the fall colors and rainy atmosphere feel peaceful and nostalgic.""",USA,Rainy,Afternoon,Fall,adventure,1220623,Consistent
757,"""Skydiving over Palm Jumeirah in Dubai. I chose it because the aerial view and adrenaline of jumping above the iconic island feel unforgettable.""",UAE,Cloudy,Afternoon,Not Clear,adventure,1220623,Contradictory
758,"Santiago Bernabeu Stadium, home of Real Madrid in Madrid, full of fans watching a football match.",Spain,Sunny,Evening,Fall,sports_event,1220641,Consistent
759,The Eiffel Tower in Paris with people walking and relaxing in the park around it.,France,Sunny,Afternoon,Spring,sightseeing,1220641,Consistent
760,"The Dome of the Rock with its golden dome shining over the old city of Jerusalem, a famous religious and historical site.",Jerusalem,Sunny,Afternoon,Spring,sightseeing,1220641,Consistent
761,"Green rice terraces and tropical trees in Indonesia, with soft sunlight over the hills.",Indonesia,Sunny,Morning,Summer,nature,1220641,Consistent
762,Mountain scenery in Georgia with high peaks and a small village or church in the valley below.,Georgia,Snowy,Morning,Winter,hiking,1220641,Consistent
763,Dubai skyline with tall modern towers like Burj Khalifa and bright city lights in the distance.,United Arab Emirates,Not Clear,Evening,Winter,sightseeing,1220641,Contradictory
764,"A calm lake and high mountains in Canada, with forests and clear reflections in the water.",Canada,Sunny,Afternoon,Fall,hiking,1220641,Consistent
765,Snowy Swiss Alps with high peaks and maybe a ski resort or village below.,Switzerland,Sunny,Morning,Winter,hiking,1220641,Consistent
766,"Sand dunes and desert landscape in Algeria, with warm light over the golden sand.",Algeria,Sunny,Afternoon,Summer,sightseeing,1220641,Consistent
767,"A colorful street or old town in Morocco, with traditional buildings and people walking or shopping.",Morocco,Sunny,Afternoon,Spring,sightseeing,1220641,Consistent
768,"A view of Moscow City�s skyscrapers during winter, showing modern towers surrounded by snow and cold atmosphere.",Russia,Snowy,Evening,Winter,sightseeing,1220808,Contradictory
769,"A classic Amsterdam canal view with bicycles and historic buildings, chosen for its peaceful European charm.",Netherlands,Cloudy,Afternoon,Spring,sightseeing,1220808,Consistent
770,"A beautiful view of Barcelona�s coastline with the city and beach atmosphere, chosen for its lively Mediterranean vibe.",Spain,Sunny,Afternoon,Summer,relaxing,1220808,Consistent
771,"A scenic view of Istanbul with historic architecture and the Bosphorus, chosen for its rich cultural atmosphere.",Turkey,Sunny,Evening,Summer,sightseeing,1220808,Consistent
772,"A vibrant cityscape of Seoul with tall modern buildings and colorful lights, chosen for its energetic urban atmosphere.",South Korea,Sunny,Evening,Fall,sightseeing,1220808,Consistent
773,"A stunning view of Norway�s mountains and icy waters, chosen for its peaceful and dramatic natural beauty.",Norway,Snowy,Morning,Winter,hiking,1220808,Consistent
774,"The famous Fushimi Inari Shrine with its iconic red torii gates, chosen for its cultural and spiritual significance.",Japan,Sunny,Morning,Spring,sightseeing,1220808,Consistent
775,"A dramatic mountainous landscape in Dagestan with steep cliffs and greenery, chosen for its breathtaking natural scenery.",Russia,Cloudy,Afternoon,Summer,hiking,1220808,Consistent
776,"A vast icy landscape of Greenland with glaciers and snow, chosen for its serene and remote arctic beauty.",Greenland,Snowy,Morning,Winter,hiking,1220808,Consistent
777,"A rugged mountainous landscape in Afghanistan, chosen for its dramatic terrain and natural beauty.",Afghanistan,Sunny,Afternoon,Summer,hiking,1220808,Consistent
778,White-sand tropical beach bordered by rainforest and the Great Barrier Reef.,Australia,Sunny,Evening,Summer,relaxing,1220829,Consistent
779,Dramatic canyon view with a winding river and glowing cliffs.,United States,Sunny,Morning,Summer,sightseeing,1220829,Consistent
780,Classic Roman rooftops and domes.,Italy,Sunny,Afternoon,Summer,sightseeing,1220829,Consistent
781,Sunrise view of the Golden Gate Bridge.,United States,Sunny,Evening,Spring,sightseeing,1220829,Consistent
782,Ha Long Bay cliffs and calm water during sunset.,Vietnam,Sunny,Morning,Fall,water,1220829,Consistent
783,Green alpine fields and Dolomites mountains.,Italy,Sunny,Morning,Summer,hiking,1220829,Consistent
784,Golden sunset over Ha Long Bay cliffs.,Vietnam,Sunny,Evening,Summer,sightseeing,1220829,Consistent
785,Overwater villas and crystal-clear lagoon.,Maldives,Sunny,Morning,Summer,water,1220829,Consistent
786,Aerial view of Masjid al-Haram and Kaaba.,Saudi Arabia,Not Clear,Evening,Not Clear,religious,1220829,Contradictory
787,Dome of the Rock under clear blue sky.,Palestine,Sunny,Morning,Not Clear,sightseeing,1220829,Consistent
788,"Alhambra Palace, A photo of the Court of the Lions, highlighting the detailed carvings on the marble pillars. I chose this place because its unique craftsmanship and historical atmosphere bring back nostalgic memories from my visit.",Spain,Sunny,Afternoon,Spring,sightseeing,1220847,Consistent
789,"Pyramids of Giza, A wide desert view showing the ancient pyramids rising above the sand. I chose this place because its history and massive presence always inspire curiosity.",Egypt,Sunny,Morning,Not Clear,sightseeing,1220847,Consistent
790,"Lake Como, A peaceful lakeside view with colorful flowers and classic buildings along the water. I chose this place because its calm atmosphere and natural beauty makes it a perfect getaway",Italy,Sunny,Afternoon,Spring,relaxing,1220847,Consistent
791,"Jungfraujoch (Swiss Alps), A breathtaking view of snow-covered mountains under soft morning light. I chose this place because its majestic alpine scenery makes it a fascinating place to experience.",Switzerland,Snowy,Morning,Winter,sightseeing,1220847,Contradictory
792,"Colosseum, An early-morning view of the Roman Colosseum with some clouds in the sky, highlighting its ancient architecture. I chose this place because its deep history and timeless design is fascinating.",Italy,Cloudy,Morning,Not Clear,sightseeing,1220847,Consistent
793,"Mecca, A view of the Kaaba at night. I chose this place because it is the holiest site in Islam.",Saudi Arabia,Not Clear,Evening,Not Clear,religious,1220847,Contradictory
794,"Antarctica, A wide icy landscape showing snow and glacier terrain. I chose this place because of its unique frozen beauty and the challenge of exploring one of the most extreme places on Earth.",Antarctica,Snowy,Afternoon,Not Clear,hiking,1220847,Contradictory
795,"Petra, A night view of Petra�s rock-carved architecture. I chose this place because of its ancient history and unique beauty.",Jordan,Not Clear,Evening,Not Clear,sightseeing,1220847,Contradictory
796,"Maldives, A golden afternoon on a sunny beach with clear water and vacation huts. I chose this place for its relaxing tropical beauty.",Maldives,Sunny,Afternoon,Summer,relaxing,1220847,Consistent
797,"Great Wall of China, A breathtaking view of the Great Wall of China snaking over mountains. I chose this place because it symbolizes ancient history and architectural marvels.",China,Sunny,Afternoon,Spring,sightseeing,1220847,Consistent
798,A sacred city for Muslims with great historical and cultural importance. I want to visit it to experience its spiritual atmosphere and rich history.,Palestine,Sunny,Afternoon,Summer,religious,1220848,Consistent
799,A scenic city on the Black Sea coast with green hills and historic landmarks. I want to visit it to enjoy its natural beauty and explore its culture.,Turkey,Cloudy,Afternoon,Spring,sightseeing,1220848,Consistent
800,"Disneyland is a magical theme park full of fun and excitement. I want to visit it to experience the rides, shows, and joyful atmosphere.",France,Not Clear,Evening,Not Clear,entertainment,1220848,Contradictory
801,"Rovaniemi is a magical Arctic?Circle city in Finnish Lapland, full of snowy landscapes, Northern Lights, and winter wonderland charm. I want to visit it to enjoy its unique Arctic nature, experience the snow and the lights, and live a dream of a fairy?tale winter.",Finland,Snowy,Evening,Winter,winter_sport,1220848,Consistent
802,Burj?Khalifa � the tallest building in the world � a symbol of modern engineering and dream architecture. I want to visit it to see the skyline from above and admire its grandeur,United Arab Emirates,Not Clear,Evening,Summer,urban,1220848,Consistent
803,"Tokyo is a vibrant city mixing modern skyscrapers, neon lights and traditional culture; I want to visit to experience its energy, high?tech atmosphere and cultural diversity.",Japan,Sunny,Afternoon,Spring,other,1220848,Consistent
804,"The Maldives � a tropical paradise of crystal?clear waters and white sandy beaches, perfect for relaxation and island?life escape. I want to visit it to enjoy its serene nature, warm seas, and peaceful island ambiance.",Maldives,Sunny,Morning,Summer,relaxing,1220848,Consistent
805,"Venice is a magical city built on water, with charming canals and gondola rides; I want to visit it to ride a gondola, enjoy the canals and feel the unique romantic atmosphere.",Italy,Sunny,Afternoon,Summer,sightseeing,1220848,Consistent
806,Twin Lagoon in Coron is a hidden tropical paradise with crystal?clear turquoise water surrounded by dramatic limestone cliffs � I want to visit to swim between two connected lagoons and enjoy its natural beauty.,Philippines,Sunny,Afternoon,Spring,water,1220848,Consistent
807,"Machu?Picchu � an ancient Inca mountain city perched high in the Andes; I want to hike there to explore the ruins, enjoy breathtaking mountain views and experience ancient history.",Peru,Cloudy,Afternoon,Spring,hiking,1220848,Consistent
808,"A clear and bright picture of the Dome of the Rock that we long for, surrounded by historic buildings and ancient stone walls.",Palestine,Sunny,Morning,Summer,sightseeing,1220857,Consistent
809,"A beautiful sunset view of the Great Pyramids of Giza, with warm golden sky colors shining over the desert.",Egypt,Sunny,Morning,Summer,sightseeing,1220857,Consistent
810,"A powerful waterfall with bright blue water crashing down, surrounded by clouds and mist.",Canada,Cloudy,Afternoon,Summer,relaxing,1220857,Consistent
811,"A night view of Shanghai’s skyline with colorful lights, featuring the bright pink Oriental Pearl Tower beside modern skyscrapers.",China,Not Clear,Evening,Not Clear,sightseeing,1220857,Contradictory
812,A bright daytime photo of the Leaning Tower of Pisa with people walking around the green lawn under a partly cloudy sky.,Italy,Cloudy,Afternoon,Spring,sightseeing,1220857,Consistent
813,"A sunny photo of the ancient Petra building carved into the rock, with people walking in front of it under a deep blue sky.",Jordan,Sunny,Afternoon,Summer,sightseeing,1220857,Consistent
814,A large crowd of worshippers gathered around the Kaaba during prayer inside the Grand Mosque.,Saudi Arabia,Not Clear,Evening,Not Clear,religious,1220857,Contradictory
815,"A snowy winter scene of the Eiffel Tower with people walking toward it, surrounded by bare trees and a white walkway.",France,Snowy,Afternoon,Winter,sightseeing,1220857,Contradictory
816,"An aerial view of Barcelona with the Sagrada Família in the center, surrounded by long straight streets and warm sunset light.",Spain,Sunny,Evening,Fall,sightseeing,1220857,Consistent
817,"A charming street view leading to the historic Galata Tower, with old buildings, warm sunlight, and a cobblestone road.",Turkey,Sunny,Afternoon,Fall,walking,1220857,Consistent
818,Iceland Northern Lights — my favorite place since I was a kid and saw it in many movies.,Iceland,Snowy,Evening,Winter,sightseeing,1220869,Contradictory
819,Edinburgh Castle — I chose this place because it has the mood of dark fantasy.,Scotland,Cloudy,Afternoon,Not Clear,sightseeing,1220869,Consistent
820,Salar de Uyuni — famous for its mirror-like reflection photos in the rainy season.,Bolivia,Cloudy,Morning,Spring,sightseeing,1220869,Consistent
821,Louvre Museum — a famous museum in France that has many famous art objects.,France,Not Clear,Evening,Fall,sightseeing,1220869,Consistent
822,Kyoto — famous for cherry blossoms and beautiful shrines.,Japan,Sunny,Morning,Spring,sightseeing,1220869,Consistent
823,Floating Torii Saga Shrine — a beautiful place for relaxing and sightseeing.,Japan,Sunny,Morning,Not Clear,sightseeing,1220869,Consistent
824,Cappadocia Balloon Festival — beautiful hot air balloons in Turkey.,Turkey,Sunny,Afternoon,Not Clear,sightseeing,1220869,Consistent
825,Sea of Stars — the perfect beach with glowing blue bioluminescent waves.,Maldives,Not Clear,Evening,Not Clear,sightseeing,1220869,Contradictory
826,Great Wall of China — a place I always wanted to walk through.,China,Cloudy,Morning,Spring,hiking,1220869,Consistent
827,Tunnel of Love — a beautiful nature-filled train path.,Ukraine,Sunny,Morning,Spring,relaxing,1220869,Consistent
828,"Whitewashed buildings and blue accents in Oia, Santorini / I've always wanted to see the iconic Cycladic architecture and bright Aegean colors in person.",Greece,Sunny,Afternoon,Summer,sightseeing,1220871,Consistent
829,Wide view of the Eiffel Tower under a clear blue sky with Paris greenery and cityscape / chosen because it's an iconic landmark I want to see in person.,France,Sunny,Afternoon,Summer,sightseeing,1220871,Consistent
830,"Swiss countryside with a farmhouse and small chapel on a green meadow of yellow wildflowers, with forests and mountains/ chosen for its peaceful, scenic vibe.",Switzerland,Cloudy,Morning,Summer,relaxing,1220871,Consistent
831,Red multi-tier pagoda overlooking a city with snow-capped Mount Fuji in the background/ chosen for the mix of Japanese culture and epic nature.,Japan,Cloudy,Afternoon,Winter,sightseeing,1220871,Consistent
832,"New York City skyline at night/ I'd love to experience the energy of the city, lights, and famous landmarks.",United States,Not Clear,Evening,Not Clear,sightseeing,1220871,Contradictory
833,"Wide daytime view of the Dome of the Rock with its golden dome and intricate blue tilework under a deep blue sky/ chosen because it represents my heritage and makes me feel nostalgic, especially since we are not allowed to go there.",Palestine,Sunny,Afternoon,Not Clear,sightseeing,1220871,Consistent
834,Petra's Treasury carved into sandstone/ I'd love to explore the ancient city and its dramatic rock-cut architecture.,Jordan,Sunny,Afternoon,Summer,sightseeing,1220871,Consistent
835,Machu Picchu at sunrise with misty mountains/ this place feels legendary and I want to hike and see the ruins above the clouds.,Peru,Cloudy,Morning,Not Clear,hiking,1220871,Consistent
836,"A sunny coastal marina packed with boats and yachts beside a green cliffside town, overlooking a calm deep-blue sea/ chosen because I'd love to explore a lively Mediterranean-style harbor and relax by the water.",Turkey,Sunny,Afternoon,Summer,sightseeing,1220871,Consistent
837,"Saint Basil's Cathedral in Moscow at night during snowfall, glowing under city lights/ chosen because the winter atmosphere looks magical and I want to experience Red Square in the snow.",Russia,Snowy,Evening,Winter,sightseeing,1220871,Contradictory
838,"A clear aerial view of Santiago Bernabéu Stadium in Madrid, home to Real Madrid.",Spain,Sunny,Afternoon,Summer,sightseeing,1220911,Consistent
839,A vibrant photo of Camp Nou in Barcelona during a football match.,Spain,Sunny,Evening,Fall,sightseeing,1220911,Consistent
840,A stunning view of Tower Bridge in London lit beautifully in the evening.,England,Cloudy,Evening,Spring,sightseeing,1220911,Consistent
841,"The Brandenburg Gate in Berlin, a historic and iconic German monument.",Germany,Sunny,Morning,Summer,sightseeing,1220911,Consistent
842,Beautiful houses of Santorini overlooking the blue sea.,Greece,Sunny,Afternoon,Summer,relaxing,1220911,Consistent
843,A busy aerial view of Shibuya Crossing in Tokyo at night.,Japan,Sunny,Night,Fall,sightseeing,1220911,Contradictory
844,A dramatic view of the Burj Khalifa tower in Dubai.,UAE,Sunny,Afternoon,Winter,sightseeing,1220911,Consistent
845,"A low-angle shot of Petra's famous Al-Khazneh, carved into rock.",Jordan,Sunny,Morning,Spring,sightseeing,1220911,Consistent
846,Aerial view of a Maldives island resort with bright turquoise water.,Maldives,Sunny,Afternoon,Summer,relaxing,1220911,Consistent
847,A classic view of the Leaning Tower of Pisa on a sunny day.,Italy,Sunny,Morning,Spring,sightseeing,1220911,Consistent
848,"A vibrant street view of Times Square filled with bright billboards, yellow taxis, and people walking along the sidewalks.",United States,Sunny,Morning,Winter,urban,1221005,Consistent
849,Autumn colors in Central Park with a lake and NYC skyscrapers rising in the background.,United States,Sunny,Afternoon,Fall,relaxing,1221005,Consistent
850,A clear view of the Statue of Liberty standing tall on Liberty Island.,United States,Sunny,Afternoon,Fall,cultural,1221005,Consistent
851,A nighttime view of the Brooklyn Bridge with the NYC skyline glowing behind it.,United States,Not Clear,Evening,Not Clear,photography,1221005,Contradictory
852,A snowy winter scene with the Empire State Building glowing as snow falls over NYC streets.,United States,Snowy,Evening,Winter,hiking,1221005,Consistent
853,"A modern aerial view of the Santiago Bernabéu Stadium at night, illuminated by bright lights.",Spain,Not Clear,Night,Not Clear,sports_event,1221005,Contradictory
854,A majestic view of the Royal Palace of Madrid framed by tall trees and gardens.,Spain,Sunny,Afternoon,Spring,cultural,1221005,Consistent
855,Plaza Mayor's iconic red buildings and open square with people casually walking.,Spain,Cloudy,Afternoon,Not Clear,walking,1221005,Consistent
856,A peaceful exterior view of Almudena Cathedral with surrounding greenery.,Spain,Sunny,Afternoon,Not Clear,cultural,1221005,Contradictory
857,The Crystal Palace in El Retiro Park surrounded by autumn trees and a lake with a fountain.,Spain,Sunny,Afternoon,Fall,relaxing,1221005,Consistent
858,"Lush green terraced rice paddies, characteristic of Bali's agricultural landscape",Indonesia,Sunny,Morning,Summer,sightseeing,1221026,Consistent
859,The iconic golden dome and intricate blue tile work of the mosque,Palestine,Sunny,Morning,Summer,religious,1221026,Consistent
860,The modern glass pyramid entrance contrasting with the historic palace architecture,France,Cloudy,Afternoon,Spring,sightseeing,1221026,Consistent
861,"Gondolas floating on the Grand Canal, surrounded by classic Venetian buildings",Italy,Sunny,Afternoon,Summer,relaxing,1221026,Consistent
862,Mount Fuji towering over delicate cherry blossom trees in full bloom,Japan,Sunny,Morning,Spring,sightseeing,1221026,Consistent
863,The stunning turquoise waters of Moraine Lake backed by the snow-dusted Valley of the Ten Peaks,Canada,Cloudy,Morning,Spring,hiking,1221026,Consistent
864,Trekkers making their way across a snowy path toward the high-altitude mountain peaks,Nepal,Sunny,Afternoon,Fall,hiking,1221026,Consistent
865,The historic main square filled with people dining and socializing under the arcades,Spain,Cloudy,Afternoon,Summer,relaxing,1221026,Consistent
866,"White, cliffside houses with blue domes overlooking the Aegean Sea during sunset",Greece,Sunny,Evening,Summer,relaxing,1221026,Consistent
867,An aerial view of the city bowl and coastline with the flat top of Table Mountain,South Africa,Sunny,Afternoon,Summer,sightseeing,1221026,Consistent
868,FC Barcelona�s Camp Nou during an El Cl�sico match full crowd choreography and electric football atmosphere.,Spain,Not Clear,Evening,Spring,sports_event,1221036,Contradictory
869,A stunning aerial view of Barcelona with the Sagrada Fam�lia standing at the center surrounded by the city's perfectly organized grid layout.,Spain,Sunny,Evening,Summer,sightseeing,1221036,Consistent
870,"A stunning view of the Dome of the Rock with its golden dome and detailed blue mosaics, representing deep historical and cultural significance.",Palestine,Cloudy,Afternoon,Not Clear,religious,1221036,Contradictory
871,"A view of the Holy Kaaba surrounded by worshippers performing prayer and pilgrimage in Masjid al-Haram, a deeply spiritual and peaceful sacred place.",Saudi Arabia,Not Clear,Afternoon,Fall,religious,1221036,Contradictory
872,"A panoramic view of Dubai with the Museum of the Future and Emirates Towers, showing the city's modern skyline and vibrant urban atmosphere.",United Arab Emirates,Cloudy,Afternoon,Winter,sightseeing,1221036,Consistent
873,"A stunning view of the Bah�'� Gardens in Haifa featuring perfectly terraced gardens, vibrant greenery and the golden-domed Shrine of the B�b at the top.",Palestine,Sunny,Afternoon,Summer,sightseeing,1221036,Consistent
874,Luxury overwater villa with a private pool surrounded by clear turquoise water and palm trees offering a peaceful and relaxing tropical experience.,Maldives,Sunny,Afternoon,Summer,relaxing,1221036,Consistent
875,An iconic view of the Great Wall of China stretching across green mountains showing its ancient stone pathways and watchtowers.,China,Cloudy,Morning,Spring,walking,1221036,Consistent
876,"A classic view of Big Ben and the Houses of Parliament with iconic red telephone booths and double-deckers passing by, capturing the lively charm of central London.",United Kingdom,Cloudy,Evening,Not Clear,sightseeing,1221036,Consistent
877,"A romantic night view of the Eiffel Tower glowing with golden lights, overlooking the city of Paris.                                                                 ",France,Not Clear,Evening,Not Clear,sightseeing,1221036,Contradictory
878,"A view of Al-Aqsa Mosque in Jerusalem, an important Islamic holy site.",Palestine,Sunny,Morning,Spring,relaxing,1221044,Consistent
879,Al-Masjid an-Nabawi in Madinah showing its peaceful courtyard and iconic green dome.,Saudi Arabia,Sunny,Afternoon,Summer,relaxing,1221044,Consistent
880,The Holy Kaaba in Mecca surrounded by pilgrims during worship.,Saudi Arabia,Sunny,Evening,Summer,relaxing,1221044,Consistent
881,Bosphorus Bridge in Istanbul connecting the European and Asian sides of the city.,Turkey,Sunny,Evening,Spring,sightseeing,1221044,Consistent
882,Majestic waterfalls flowing through the Norwegian natural landscape.,Norway,Cloudy,Afternoon,Summer,hiking,1221044,Consistent
883,Swiss Alps featuring snowy mountain peaks and green valleys.,Switzerland,Sunny,Morning,Winter,hiking,1221044,Consistent
884,Luxury water villas built above turquoise waters in the Maldives.,Maldives,Sunny,Afternoon,Summer,relaxing,1221044,Consistent
885,"Calm historic streets in Ait Ben Haddou, a traditional Moroccan kasbah village.",Morocco,Sunny,Afternoon,Summer,sightseeing,1221044,Consistent
886,A scenic Mediterranean view in Sidi Bou Said village with white and blue houses.,Tunisia,Sunny,Morning,Summer,sightseeing,1221044,Consistent
887,A stunning view of the courtyard of the Umayyad Mosque highlighting its ancient Islamic architecture.,Syria,Cloudy,Afternoon,Spring,sightseeing,1221044,Consistent
888,White-washed buildings with blue domes overlooking the Aegean Sea in Santorini. I chose it for its unique architecture and stunning coastal views.,Greece,Sunny,Morning,Summer,unknown,1221054,Consistent
889,Surfers preparing to enter the waves on a sandy beach in Bali during sunset. I chose it for its relaxed atmosphere and popular surf culture.,Indonesia,Cloudy,Evening,Summer,water,1221054,Consistent
890,"The Colosseum in Rome illuminated at dusk, showcasing its ancient architecture and historical significance. I chose it for its cultural heritage and iconic structure.",Italy,Cloudy,Evening,Fall,unknown,1221054,Consistent
891,"Boats traveling along the Grand Canal in Venice, surrounded by historic colorful buildings. I chose it for its unique waterways and romantic atmosphere.",Italy,Cloudy,Afternoon,Spring,water,1221054,Consistent
892,"A picturesque lakeside village in Hallstatt, surrounded by mountains and autumn-colored trees. I chose it for its calm atmosphere and scenic natural beauty.",Austria,Cloudy,Afternoon,Fall,unknown,1221054,Consistent
893,The Bow Bridge in Central Park surrounded by colorful autumn foliage. I chose it for its peaceful atmosphere and beautiful seasonal colors.,USA,Sunny,Afternoon,Fall,unknown,1221054,Consistent
894,Colorful cliffside houses in Cinque Terre overlooking the Mediterranean Sea. I chose it for its vibrant architecture and stunning coastal views.,Italy,Sunny,Afternoon,Summer,photography,1221054,Consistent
895,A couple walking under blooming cherry blossom trees in Japan. I chose it for its peaceful atmosphere and iconic spring scenery.,Japan,Sunny,Afternoon,Spring,walking,1221054,Consistent
896,A snowy night view of Zermatt village with the Matterhorn mountain in the background. I chose it for its dramatic alpine scenery and winter charm.,Switzerland,Snowy,Evening,Winter,unknown,1221054,Consistent
897,Group of skiers hiking through snowy mountains in the Swiss Alps. I chose it for its adventurous winter landscape and dramatic alpine scenery.,Switzerland,Sunny,Morning,Winter,winter_sport,1221054,Consistent
898,A stunning island with white houses and blue domes overlooking the Aegean Sea. I chose it because it's one of the most photographed and romantic spots in the world.,Greece,Cloudy,Afternoon,Fall,relaxing,1221123,Consistent
899,"A futuristic city full of neon lights, modern tech, and unique culture. I chose it because it perfectly blends tradition and innovation.",Japan,Not Clear,Evening,Summer,sightseeing,1221123,Consistent
900,"Lush green rice terraces, beaches, and spiritual temples. I chose it because it’s a top destination for relaxation and nature lovers. ",Bali – Indonesia.,Cloudy,Afternoon,Spring,relaxing,1221123,Consistent
901,"The Eiffel Tower and elegant streets make it one of the most iconic cities. I chose it because it’s a classic dream destination for art, romance, and culture. ",France,Sunny,Evening,Fall,sightseeing,1221123,Consistent
902," Skyscrapers, Times Square, and endless entertainment. I  chose it because it’s the world’s most energetic and diverse city.",United States of America,Not Clear,Evening,Summer,relaxing,1221123,Consistent
903,A luxurious city with futuristic architecture and desert  adventures. I chose it because it represents modern ambition and innovation.,United Arab Emirates,Sunny,Morning,Summer,sightseeing,1221123,Consistent
904,Crystal-clear turquoise water with beautiful overwater resorts. I chose it because it’s one of the most peaceful and beautiful tropical places on earth. ,Maldives,Sunny,Morning,Summer,relaxing,1221123,Consistent
905,"Traditional temples, bamboo forests, and colorful seasonal scenery. I chose it because it preserves ancient Japanese beauty and calmness.",Japan,Cloudy,Evening,Spring,hiking,1221123,Consistent
906, Majestic snow-covered mountains perfect for skiing and sightseeing. I chose it because the landscapes are some of the most breathtaking on the planet. ,Switzerland,Sunny,Morning,Summer,hiking,1221123,Consistent
907,"A vibrant city where East meets West, rich with history and stunning architecture. I chose it because it’s culturally unique and visually incredible.",Türkiye,Cloudy,Afternoon,Summer,relaxing,1221123,Consistent
908,"""The Al-Aqsa Mosque complex in Jerusalem, a sacred historical and spiritual site. I chose this place because it represents deep cultural and religious significance, and it inspires a strong sense of connection and identity.",Palestine,Sunny,Afternoon,Spring,sightseeing,1221332,Consistent
909,"This image shows Masjid Al-Haram in Mecca with the Kaaba at its center, surrounded by worshippers performing their religious rituals. I chose this place because it is the holiest site in Islam and visiting it for worship is a lifelong dream for me",Saudi Arabia,Not Clear,Evening,Not Clear,religious,1221332,Contradictory
910,"A detailed view of the Alhambra Palace in Granada, Spain, showcasing its intricate Moorish architecture; I chose this place for its stunning historical and cultural beauty.",Spain,Sunny,Afternoon,Spring,sightseeing,1221332,Consistent
911,"A vibrant cityscape of Istanbul, capturing its historic charm and cultural energy; I chose this place for its rich history, diverse culture, and beauty bridging continents.",Turkey,Sunny,Afternoon,Spring,sightseeing,1221332,Consistent
